CODADM_A,MONTO NETO A,CODADM_B,MONTO NETO B,DIFERENCIA
782,"0,00",S83,"0,00","0,00"
783,"0,00",S82,"0,00","0,00"
816,"-5.925.324,10",CCC,"5.925.324,10","0,00"
817,"-1.232.072,13",CII,"1.232.072,13","0,00"
710,"0,00",733,"0,00","0,00"
711,"0,00",734,"0,00","0,00"
J21,"-19.071.280,36",J25,"19.071.280,36","0,00"
796,"357.305.763,90",SPC,"-273.271.387,34","84.034.376,56"
788,"76.623.070,00",789,"-161.619.619,28","-84.996.549,28"
I06,"-1.564.891,98",I12,"2.527.064,70","962.172,72"
J22,"0,00",J26,"0,00","0,00"
035,"-56.009.947,75",121,"56.032.053,41","22.105,66"
366,"7.030,42",396,"-29.136,08","-22.105,66"
ACE,"-1.181.350,32",ACP,"2.436.828,92","1.255.478,60"
AFE,"-119.964,33",AFP,"135.486,26","15.521,93"
LPP,"2.925.287,21",LPW,"-4.196.287,74","-1.271.000,53"
784,"0,00",SLA,"0,00","0,00"
031,"0,00",780,"0,00","0,00"
803,"0,00",795,"0,00","0,00"
R32,"0,00",781,"0,00","0,00"
I09,"0,00",I10,"0,00","0,00"
