CODADM_A,MONTO NETO A,CODADM_B,MONTO NETO B,DIFERENCIA
782,"0,00",S83,"0,00","0,00"
783,"0,00",S82,"0,00","0,00"
816,"-5.925.324,10",CCC,"5.925.324,10","0,00"
817,"0,00",CII,"0,00","0,00"
710,"0,00",733,"0,00","0,00"
711,"0,00",734,"0,00","0,00"
J21,"0,00",J25,"0,00","0,00"
796,"0,00",SPC,"0,00","0,00"
788,"0,00",789,"0,00","0,00"
I06,"0,00",I12,"0,00","0,00"
J22,"0,00",J26,"0,00","0,00"
035,"-56.009.947,75",121,"56.032.053,41","22.105,66"
366,"7.030,42",396,"-29.136,08","-22.105,66"
ACE,"0,00",ACP,"0,00","0,00"
AFE,"0,00",AFP,"0,00","0,00"
LPP,"0,00",LPW,"0,00","0,00"
784,"0,00",SLA,"0,00","0,00"
031,"0,00",780,"0,00","0,00"
803,"0,00",795,"0,00","0,00"
R32,"0,00",781,"0,00","0,00"
I09,"0,00",I10,"0,00","0,00"
