CODADM_A,MONTO NETO A,CODADM_B,MONTO NETO B,DIFERENCIA
782,"0,00",S83,"0,00","0,00"
783,"0,00",S82,"0,00","0,00"
816,"0,00",CCC,"0,00","0,00"
817,"0,00",CII,"0,00","0,00"
710,"0,00",733,"0,00","0,00"
711,"0,00",734,"0,00","0,00"
J21,"0,00",J25,"0,00","0,00"
796,"0,00",SPC,"0,00","0,00"
788,"0,00",789,"0,00","0,00"
I06,"0,00",I12,"0,00","0,00"
J22,"0,00",J26,"0,00","0,00"
035,"0,00",121,"0,00","0,00"
366,"0,00",396,"0,00","0,00"
ACE,"0,00",ACP,"0,00","0,00"
AFE,"0,00",AFP,"0,00","0,00"
LPP,"0,00",LPW,"0,00","0,00"
784,"52.087.927,90",SLA,"-52.087.927,90","0,00"
031,"9.169.953,34",780,"-9.478.695,00","-308.741,66"
803,"-13.292.732,45",795,"6.598.453,68","-6.694.278,77"
R32,"-88.382,58",781,"7.060.946,20","6.972.563,62"
I09,"229.430,02",I10,"-198.973,23","30.456,79"
